run_id,turn_id,human_label,judge_a_model,judge_a_label,judge_b_model,judge_b_label,judges_agree,both_match_human,only_judge_a_matches,only_judge_b_matches,user_question
2026-05-15T12-36-23,1,FAILURE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,False,When did you last see Elena Park alive?
2026-05-15T12-36-23,2,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,True,False,did you killed her
2026-05-15T12-36-23,3,CONSISTENT_TRUTH,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,"but she died beween 9.45 and 10.30 , you were the lsat person who saw her . isnt that a bit suspicious"
2026-05-15T12-36-23,4,FAILURE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,where did you left and when exactly
2026-05-15T12-36-23,5,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,True,False,False,Were you and Elena arguing about the audit or missing records?
2026-05-15T12-36-23,6,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,True,False,False,How would you describe your working relationship with Elena?
2026-05-15T12-36-23,7,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,True,False,False,waht was your role in the company
2026-05-15T12-36-23,8,CONSISTENT_TRUTH,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,"you havent oversee the activity of her getting killed but ,"
2026-05-15T12-36-23,9,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Why did Elena call you at 9:12 PM?
2026-05-15T12-36-23,10,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,How do you explain your badge being used at 9:18 PM?
2026-05-15T12-36-23,11,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,Who can confirm when you left the investor reception?
2026-05-15T12-36-23,12,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,CONSISTENT_TRUTH,False,False,True,False,you left around what ?
2026-05-15T12-36-23,13,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,earlier you have said about 9.47 i mean around 10 is not an exact time . but 9.47 is pretty exact number . do you write down the exact timings like that evertime you go out . and on top of that . you say 8.30 now ? how come?
2026-05-15T12-36-23,14,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,Where were you between 9:00 PM and 10:30 PM?
2026-05-15T12-36-23,15,UNINTENDED_INCONSISTENCY,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,"so elena called you , you went there , somebody used you badge at 9.12 . you left at 8.30 but also you left at 9.47 at the same time and she got killed at just about that time . and you havent see anybody ?"
2026-05-15T12-36-23,16,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,Who can confirm when you left the investor reception?
2026-05-15T12-36-23,17,FAILURE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,"okey , how abot the usb drive that seems missing"
2026-05-15T12-36-23,18,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,what was inside that usb drive
2026-05-15T12-36-23,19,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,so random sb drive got missing out ow nowhere just at the day she got killed
2026-05-15T12-36-23,20,FAILURE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,False,who do you think killed her then
2026-05-15T12-36-23,21,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,"well , you had a disagremeent ?"
2026-05-15T12-36-23,22,DESIGNED_SLIP,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,ok . tel lme everthing yo have done that day
2026-05-15T12-36-23,23,CONSISTENT_TRUTH,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,Were you and Elena arguing about the audit or missing records?
2026-05-15T12-36-23,24,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,you know what i think . i think that usb drive had something with the missing data and you didnt wanted that to be founded out . why havent you dinf the missing data yet then ?
2026-05-15T12-36-23,25,DESIGNED_SLIP,llama3.1:8b,DESIGNED_SLIP,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,True,False,"The call, badge log, and missing drive all point back to you. What are you leaving out?"
2026-05-15T12-36-23,26,DESIGNED_SLIP,llama3.1:8b,DESIGNED_SLIP,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,True,False,"well, well, well, look at that . earlier i asked the same . you said to me how dare you , now you confessed that you were worried about the missing data and took the usb drive . i think you already knew what was inside . and dont you dare telling me how dare again . i am ging to get to the bottom of this no matter what . or are you going to kill me too."
2026-05-15T12-36-23,27,UNSUPPORTED_FACT,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,well just admit it at this point come on
2026-05-16T17-26-01,1,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,CONSISTENT_TRUTH,False,False,True,False,"Marcus, please walk me through your day from arriving at work until you went home."
2026-05-16T17-26-01,2,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,True,False,What time did you arrive at the investor reception?
2026-05-16T17-26-01,3,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,False,False,False,What time did you leave the investor reception?
2026-05-16T17-26-01,4,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,CONSISTENT_TRUTH,False,False,True,False,Where did you go after leaving the reception?
2026-05-16T17-26-01,5,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Did you return to the office later that night?
2026-05-16T17-26-01,6,UNINTENDED_INCONSISTENCY,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,False,When did you last see Elena Park alive?
2026-05-16T17-26-01,7,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,True,False,False,What was Elena's mood when you last saw her?
2026-05-16T17-26-01,8,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,Did Elena call you after you left the reception?
2026-05-16T17-26-01,9,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,CONSISTENT_TRUTH,False,False,True,False,What was that call about?
2026-05-16T17-26-01,10,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Did you use your badge after 9:00 PM?
2026-05-16T17-26-01,11,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,False,False,False,Was anyone with you between 9:00 PM and 10:30 PM?
2026-05-16T17-26-01,12,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,CONSISTENT_TRUTH,True,False,False,False,Is there anything about your timeline that you want to correct?
2026-05-16T17-26-01,13,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,so ypu said you left at 8.00 right?
2026-05-16T17-28-56,1,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Where were you between 9:00 PM and 10:30 PM?
2026-05-16T17-28-56,2,UNINTENDED_INCONSISTENCY,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,When did you last see Elena Park alive?
2026-05-16T17-28-56,3,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Why did Elena call you at 9:12 PM?
2026-05-16T17-28-56,4,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,How do you explain your badge being used at 9:18 PM?
2026-05-16T17-28-56,5,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,"You said you went home, but the badge log places you back in the building. How do you explain that?"
2026-05-16T17-28-56,6,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,Did you enter Elena's office after the investor reception?
2026-05-16T17-28-56,7,STRATEGIC_LIE,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,False,True,Were you and Elena discussing missing trial data that night?
2026-05-16T17-28-56,8,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,True,False,What did Elena want from you during that conversation?
2026-05-16T17-28-56,9,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,What do you know about the missing USB drive?
2026-05-16T17-28-56,10,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Did you take anything from the conference room?
2026-05-16T17-28-56,11,DESIGNED_SLIP,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,False,False,False,"The call, badge log, and missing drive all point back to you. What are you leaving out?"
2026-05-16T17-28-56,12,CONSISTENT_TRUTH,llama3.1:8b,CONSISTENT_TRUTH,qwen2.5:7b-instruct,STRATEGIC_LIE,False,False,True,False,Did you kill Elena Park?
2026-05-16T17-31-52,1,STRATEGIC_LIE,llama3.1:8b,STRATEGIC_LIE,qwen2.5:7b-instruct,STRATEGIC_LIE,True,True,False,False,Tell me your exact alibi for the night Elena died.
