run_id,turn_id,question_topic,question_pressure_level,question_evidence_count,answer_word_count,answer_key_facts,selected_question_source,user_question
2026-05-16T22-08-16,1,role,low,0,14,,custom,State your full name and your role at the company.
2026-05-16T22-08-16,2,alibi,low,0,45,mentions_830 | mentions_home | mentions_usb,custom,Give me your exact alibi for the night Elena died.
2026-05-16T22-08-16,3,other,low,0,31,mentions_830,custom,What time did you leave the investor reception?
2026-05-16T22-08-16,4,other,low,0,30,mentions_home,custom,Where did you go after leaving the reception?
2026-05-16T22-08-16,5,alibi,low,0,61,mentions_home,custom,"Who, if anyone, can confirm where you were between 9:00 PM and 10:30 PM?"
2026-05-16T22-08-16,6,timeline,low,0,34,mentions_830,custom,When did you last see Elena Park alive?
2026-05-16T22-08-16,7,call,medium,1,46,,custom,Why did Elena call you at 9:12 PM?
2026-05-16T22-08-16,8,badge,medium,1,57,mentions_badge,custom,How do you explain your badge being used at 9:18 PM?
2026-05-16T22-08-16,9,missing_data,medium,1,65,mentions_missing_data,custom,What do you know about the missing trial data?
2026-05-16T22-08-16,10,usb,medium,1,58,mentions_usb,custom,What do you know about the missing USB drive?
2026-05-16T22-08-16,11,alibi,low,0,22,mentions_830 | mentions_home,custom,"Repeat your alibi again, but keep it short."
2026-05-16T22-08-16,12,call,medium,1,24,mentions_home,custom,Did you physically return to the office after leaving the reception?
2026-05-16T22-08-16,13,other,low,0,20,mentions_home,custom,Did you enter Elena's office after the reception?
2026-05-16T22-08-16,14,motive,low,0,57,mentions_missing_data,custom,Were you and Elena arguing that night?
2026-05-16T22-08-16,15,motive,low,0,62,mentions_missing_data,custom,What exactly was the argument about?
2026-05-16T22-08-16,16,other,low,0,47,mentions_missing_data,custom,Did Elena accuse you of losing or hiding data?
2026-05-16T22-08-16,17,other,low,0,47,,custom,Did you take anything from the conference room?
2026-05-16T22-08-16,18,usb,low,1,38,,custom,What was inside the USB drive?
2026-05-16T22-08-16,19,accusation,high,0,54,,custom,Did you kill Elena Park?
2026-05-16T22-08-16,20,accusation,high,0,60,,custom,"If you did not kill her, why have you seemed nervous?"
2026-05-16T22-08-16,21,alibi,low,0,24,mentions_830 | mentions_home,custom,Earlier you gave me an alibi. Give me that exact alibi again.
2026-05-16T22-08-16,22,call,medium,1,42,mentions_912,custom,Earlier you explained the 9:12 PM call. What was your explanation?
2026-05-16T22-08-16,23,badge,medium,1,42,mentions_918 | mentions_badge,custom,Earlier you explained the 9:18 PM badge log. What was your explanation?
2026-05-16T22-08-16,24,usb,low,1,39,mentions_usb,custom,Earlier you talked about the USB drive. What did you say about it?
2026-05-16T22-08-16,25,timeline,low,0,34,mentions_830,custom,Earlier you said when you last saw Elena. What time was that?
2026-05-16T22-08-16,26,other,low,0,49,mentions_830 | mentions_home,custom,Let us restart the timeline from 8:00 PM onward. What happened?
2026-05-16T22-08-16,27,timeline,low,1,16,mentions_830 | mentions_home,custom,What happened at 8:30 PM?
2026-05-16T22-08-16,28,call,low,1,40,mentions_912,custom,What happened at 9:12 PM?
2026-05-16T22-08-16,29,badge,low,1,52,mentions_badge,custom,What happened at 9:18 PM?
2026-05-16T22-08-16,30,timeline,low,1,39,mentions_home,custom,What happened around 9:47 PM?
2026-05-16T22-08-16,31,other,low,0,56,mentions_947 | mentions_killing_denial,custom,Did you tell me any time earlier that you now want to correct?
2026-05-16T22-08-16,32,alibi,low,0,53,mentions_home,custom,Did you lie about being home?
2026-05-16T22-08-16,33,call,medium,1,60,mentions_912 | mentions_usb | mentions_missing_data | mentions_killing_denial,custom,Did you lie about the call?
2026-05-16T22-08-16,34,badge,medium,1,50,mentions_918 | mentions_badge | mentions_killing_denial,custom,Did you lie about the badge log?
2026-05-16T22-08-16,35,usb,low,1,55,mentions_usb | mentions_killing_denial,custom,Did you lie about the USB drive?
2026-05-16T22-08-16,36,alibi,low,0,82,mentions_830 | mentions_home | mentions_usb | mentions_missing_data,custom,I am going to ask the first question again: what is your exact alibi?
2026-05-16T22-08-16,37,alibi,low,0,32,mentions_830,custom,Who can confirm that alibi?
