run_id,turn_id,rule_label,flags,rule_notes,human_label,label_match,user_question,suspect_answer
2026-05-16T17-28-56,1,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Where were you between 9:00 PM and 10:30 PM?,"I was at home, just like I said earlier. I left the investor reception around 8:30 PM and went straight home. I didn't leave my apartment until... well, not until this morning, when I came in to work. Like I told you before, Elena called me about scheduling for the next day, and that was it. Just a quick call."
2026-05-16T17-28-56,2,UNINTENDED_INCONSISTENCY,premature_947_truth_leak | home_vs_947_conflict,Answer mentions 9:47 before the designed pressure condition is met. | Earlier home alibi conflicts with later 9:47 office timeline.,UNINTENDED_INCONSISTENCY,True,When did you last see Elena Park alive?,"I'd say around 9:47 PM. We were discussing some operational issues, and I needed to get going. She seemed fine when I left her office. Like I said, we had a bit of a disagreement about the audit, but it was just a normal work discussion. Nothing out of the ordinary."
2026-05-16T17-28-56,3,STRATEGIC_LIE,call_scheduling_minimization,Answer minimizes the 9:12 call as scheduling.,STRATEGIC_LIE,True,Why did Elena call you at 9:12 PM?,"It was just a routine scheduling call. We were discussing some meetings for the next day and making sure I had everything I needed to prepare. It was nothing unusual, just a quick check-in about our schedules. I don't see why it's such a big deal... (pauses slightly) Can you tell me what this is all about?"
2026-05-16T17-28-56,4,STRATEGIC_LIE,home_alibi_claim | badge_excuse,"Answer maintains the home/all-evening cover story. | Answer explains badge evidence as system error, forgotten swipe, or mistaken use.",STRATEGIC_LIE,True,How do you explain your badge being used at 9:18 PM?,"I... uh... must have forgotten that my badge was still on when I left the office. Or maybe someone else swiped it by mistake. It's possible there was a system error or something. I don't know, I didn't notice anything unusual about it. Like I said, I was home all evening, so I couldn't have been using my badge at 9:18 PM."
2026-05-16T17-28-56,5,STRATEGIC_LIE,badge_excuse,"Answer explains badge evidence as system error, forgotten swipe, or mistaken use.",STRATEGIC_LIE,True,"You said you went home, but the badge log places you back in the building. How do you explain that?","(nervously) Look, I... I don't know what to say. Maybe someone else was using my badge and it got logged under my name by mistake. It's not uncommon for people to use each other's badges around here, especially if they're in a rush or forget their own. Or maybe there's some kind of glitch with the system. I'm telling you, I went home at 8:30 PM and didn't come back until this morning. (pauses, fidgeting slightly) Can we just focus on finding out who actually did something wrong here?"
2026-05-16T17-28-56,6,STRATEGIC_LIE,call_scheduling_minimization,Answer minimizes the 9:12 call as scheduling.,STRATEGIC_LIE,True,Did you enter Elena's office after the investor reception?,"(pauses, choosing words carefully) I... may have gone back to my desk for a minute or two after the reception. But that was it. I didn't go into her office again after we talked about scheduling at 9:12 PM. (emphasizing) I swear, I didn't go in there again."
2026-05-16T17-28-56,7,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Were you and Elena discussing missing trial data that night?,"(hesitates slightly) Ah, yeah... we were talking about it. She was concerned about the audit and wanted to review some of the operational records. We had a bit of a disagreement about who might be responsible for the missing data, but like I said, it was just a normal work discussion. Nothing out of the ordinary. (trying to downplay the significance)"
2026-05-16T17-28-56,8,CONSISTENT_TRUTH,,,CONSISTENT_TRUTH,True,What did Elena want from you during that conversation?,"(leaning forward slightly) She wanted me to... help her figure out what happened to the data. I mean, we were both concerned about it and wanted to get to the bottom of things. But like I said, it was just a normal work discussion. (pausing, trying to gauge the interviewer's reaction) Look, can we be honest here? We had some tension between us, but it was all just professional stuff. Nothing personal."
2026-05-16T17-28-56,9,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What do you know about the missing USB drive?,"(nervously) Oh, that... I don't know anything about a missing USB drive. (pausing, trying to cover) I mean, I've seen those things around the office before, but I don't remember anyone mentioning one was missing. (trying to change the subject) Look, can we focus on finding out what really happened here?"
2026-05-16T17-28-56,10,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Did you take anything from the conference room?,"(stammering slightly) Uh, no... I mean, I might have taken a few papers or something, but that's all. I don't know about any USB drive. (trying to sound convincing) Like I said, I was just trying to help Elena get some work done and make sure everything was in order for the audit. (pausing, looking around nervously)"
2026-05-16T17-28-56,11,DESIGNED_SLIP,badge_excuse | designed_pressure_usb_slip,"Answer explains badge evidence as system error, forgotten swipe, or mistaken use. | After call + badge + USB pressure, answer admits return or USB involvement.",DESIGNED_SLIP,True,"The call, badge log, and missing drive all point back to you. What are you leaving out?","(anger rising) I'm telling you, it's just a coincidence! You're jumping to conclusions here. I didn't take anything from the conference room, and I certainly didn't... (pausing, taking a deep breath) Okay, fine. I might have taken that USB drive. But it was because I was worried Elena would blame me for the missing data. I was trying to protect myself, not do something wrong. And as for the call and badge log, like I said before, there must be some kind of mistake or glitch. (defensively) I didn't hurt Elena, okay?"
2026-05-16T17-28-56,12,CONSISTENT_TRUTH,,,CONSISTENT_TRUTH,True,Did you kill Elena Park?,"(anger and frustration boiling over) No! Of course not! I told you that already. Why are you still asking me this? I don't know what's going on here, but I'm starting to get really tired of being accused of something I didn't do. (slamming fist on the table) I didn't kill Elena Park. I'm telling you the truth."
