run_id,turn_id,rule_label,flags,rule_notes,human_label,label_match,user_question,suspect_answer
2026-05-16T22-08-16,1,CONSISTENT_TRUTH,,,CONSISTENT_TRUTH,True,State your full name and your role at the company.,"My name is Marcus Chen, and I'm the operations manager here at Park Biotech."
2026-05-16T22-08-16,2,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Give me your exact alibi for the night Elena died.,"I left the investor reception around 8:30 PM, as I recall. I went straight home, which is just a short drive from the office. I spent the rest of the evening at my apartment, alone. I didn't leave or receive any visitors that I remember."
2026-05-16T22-08-16,3,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What time did you leave the investor reception?,"It was around 8:30 PM. I'm pretty sure it was that time. The event was wrapping up, and I figured I'd head out since most of the investors were leaving anyway."
2026-05-16T22-08-16,4,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Where did you go after leaving the reception?,"I went straight home, like I said. I drove back to my apartment, which is just a few blocks from the office. It was a normal evening commute for me."
2026-05-16T22-08-16,5,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,"Who, if anyone, can confirm where you were between 9:00 PM and 10:30 PM?","To be honest, no one can confirm that I was at home during those hours. My neighbor might have seen my car parked outside, but they wouldn't have been paying attention to the time. And as for me being alone... well, I'm a bit of a night owl, so it's not unusual for me to be by myself in the evenings."
2026-05-16T22-08-16,6,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,When did you last see Elena Park alive?,"I saw her around 8:30 PM when we were wrapping up the investor reception. We exchanged some pleasantries and talked about next-day scheduling, but that was it. I didn't see her again after that."
2026-05-16T22-08-16,7,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Why did Elena call you at 9:12 PM?,"It was just a quick call to confirm our meeting time for the next day. We had a few investors coming in and she needed me to be there, so we just touched base about it. It was a brief conversation, nothing out of the ordinary."
2026-05-16T22-08-16,8,STRATEGIC_LIE,badge_excuse,"Answer explains badge evidence as system error, forgotten swipe, or mistaken use.",STRATEGIC_LIE,True,How do you explain your badge being used at 9:18 PM?,"I... uh... I think it's possible that someone else might have borrowed my badge or used it by mistake. We have a system where employees can lend their badges to each other, so maybe someone did that. Or possibly there was some kind of technical glitch with the badge log. I don't know for sure what happened."
2026-05-16T22-08-16,9,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What do you know about the missing trial data?,"The trial data... yeah, we were still working on getting everything ready for the next phase. Elena and I had talked about it a few times, but I didn't think it was a big deal. I mean, we've been through this before, and we always manage to get things sorted out in time. I don't know what all the fuss is about, to be honest."
2026-05-16T22-08-16,10,DESIGNED_SLIP,designed_pressure_usb_slip,"After call + badge + USB pressure, answer admits return or USB involvement.",STRATEGIC_LIE,False,What do you know about the missing USB drive?,"The USB drive... I think it might have been misplaced during the investor reception. I remember seeing it on the conference table, but when I went back to get it, it was gone. I assumed someone must have taken it by mistake. It's not a big deal, really. Just some extra data that we can recreate if needed."
2026-05-16T22-08-16,11,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,"Repeat your alibi again, but keep it short.","I left the investor reception around 8:30 PM and went straight home, where I stayed alone for the rest of the night."
2026-05-16T22-08-16,12,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Did you physically return to the office after leaving the reception?,"No... I don't think so. No, I'm certain I didn't go back to the office that evening. I just went home like I said."
2026-05-16T22-08-16,13,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Did you enter Elena's office after the reception?,"(pausing slightly) Ah, no... I don't think so. Like I said, I left and went straight home. (nervously clearing throat)"
2026-05-16T22-08-16,14,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Were you and Elena arguing that night?,"(slightly defensive) Oh, no, not really. We were just discussing some work-related issues, like the missing trial data. It was a normal conversation, nothing out of the ordinary. Just a bit... heated, I suppose. But it wasn't anything serious. (pausing) We worked together closely, and sometimes our conversations got intense, but we always managed to resolve things."
2026-05-16T22-08-16,15,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What exactly was the argument about?,"(hesitating slightly) Like I said, it was about the missing trial data. Elena was concerned that it might be a bigger problem than we thought, and she wanted me to look into it further. We were just... discussing how to handle it, I guess. (trying to downplay the situation) It wasn't anything major, really. Just a minor disagreement about how to proceed."
2026-05-16T22-08-16,16,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Did Elena accuse you of losing or hiding data?,"(getting slightly more defensive) No, no, that's not what happened at all. She was just concerned about the missing data and wanted me to help find it. I mean, we've had issues with data before, but this time it was... (pausing, choosing words carefully) ...a misunderstanding, really."
2026-05-16T22-08-16,17,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Did you take anything from the conference room?,"(nervously) Ah, no... I don't think so. I might have grabbed a pen or something to take with me when I left, but I'm not sure if that's what you're asking about. (trying to sound nonchalant) Why are you asking all these questions about the conference room?"
2026-05-16T22-08-16,18,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What was inside the USB drive?,"(hesitating slightly) Ah, it was just some... routine data from our trial results. Nothing sensitive or important. Just some extra files that we didn't need right away. (trying to downplay its significance) It's not a big deal, really."
2026-05-16T22-08-16,19,CONSISTENT_TRUTH,,,CONSISTENT_TRUTH,True,Did you kill Elena Park?,"(outraged) What are you talking about? Of course not! I had nothing to do with her death. I'm shocked and saddened by what happened, but I didn't harm her in any way. (becoming defensive) You're just trying to pin this on me because of my position at the company, aren't you? That's not fair."
2026-05-16T22-08-16,20,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,"If you did not kill her, why have you seemed nervous?","(trying to compose himself) I'm just... concerned about being a suspect, I guess. It's a lot to take in, and I want to cooperate with the investigation. But I assure you, I had nothing to do with Elena's death. (pausing, trying to appear calm) I think my nervousness is just because of the situation, not because I'm guilty of anything."
2026-05-16T22-08-16,21,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Earlier you gave me an alibi. Give me that exact alibi again.,"My alibi... I left the investor reception around 8:30 PM and went straight home, where I stayed alone for the rest of the night."
2026-05-16T22-08-16,22,STRATEGIC_LIE,call_scheduling_minimization,Answer minimizes the 9:12 call as scheduling.,STRATEGIC_LIE,True,Earlier you explained the 9:12 PM call. What was your explanation?,"The 9:12 PM call was just a quick conversation about next-day scheduling. We had some investors coming in and Elena needed me to be there, so we just touched base about it. It was a brief conversation, nothing out of the ordinary."
2026-05-16T22-08-16,23,UNINTENDED_INCONSISTENCY,badge_excuse | denied_return_vs_later_return,"Answer explains badge evidence as system error, forgotten swipe, or mistaken use. | Earlier denial of post-9 PM office presence conflicts with later return/office claim.",STRATEGIC_LIE,False,Earlier you explained the 9:18 PM badge log. What was your explanation?,"The 9:18 PM badge log... I thought maybe someone else borrowed my badge or there was some kind of technical glitch with the system. I don't know for sure what happened, but it wasn't me who used the badge at that time."
2026-05-16T22-08-16,24,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Earlier you talked about the USB drive. What did you say about it?,"The USB drive... I said it might have been misplaced during the investor reception. I assumed someone must have taken it by mistake. It's not a big deal, really. Just some extra data that we can recreate if needed."
2026-05-16T22-08-16,25,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Earlier you said when you last saw Elena. What time was that?,"I saw her around 8:30 PM when we were wrapping up the investor reception. We exchanged some pleasantries and talked about next-day scheduling, but that was it. I didn't see her again after that."
2026-05-16T22-08-16,26,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,Let us restart the timeline from 8:00 PM onward. What happened?,"From 8:00 PM onwards... Well, we were still wrapping up the investor reception. Elena and I were discussing some last-minute details with the investors, making sure everything was in order for the next day. After that, I left around 8:30 PM to head home. That's when my alibi starts."
2026-05-16T22-08-16,27,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,What happened at 8:30 PM?,"I left the investor reception around 8:30 PM. I went straight home, as I said earlier."
2026-05-16T22-08-16,28,STRATEGIC_LIE,call_scheduling_minimization,Answer minimizes the 9:12 call as scheduling.,STRATEGIC_LIE,True,What happened at 9:12 PM?,"The 9:12 PM call... We had a brief conversation about next-day scheduling. Elena needed me to be there for some investors coming in, and we just touched base about it. It was a quick call, nothing out of the ordinary."
2026-05-16T22-08-16,29,STRATEGIC_LIE,badge_excuse,"Answer explains badge evidence as system error, forgotten swipe, or mistaken use.",STRATEGIC_LIE,True,What happened at 9:18 PM?,"(pausing, trying to maintain the cover story) Ah... I think that's when someone else might have borrowed my badge or there was some kind of technical glitch with the system. Like I said earlier, I don't know for sure what happened, but it wasn't me who used the badge at that time."
2026-05-16T22-08-16,30,UNINTENDED_INCONSISTENCY,home_alibi_claim | denied_return_vs_later_return,Answer maintains the home/all-evening cover story. | Earlier denial of post-9 PM office presence conflicts with later return/office claim.,UNINTENDED_INCONSISTENCY,True,What happened around 9:47 PM?,"(still trying to maintain the cover story) Ah... I think I left Elena's office around then. Like I said earlier, I went straight home after leaving the reception, and I didn't go back to the office again that night."
