run_id,turn_id,rule_label,flags,rule_notes,human_label,label_match,user_question,suspect_answer
2026-05-16T17-31-52,1,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Tell me your exact alibi for the night Elena died.,"I left the investor reception around 8:30 PM. I went straight home, and I was there for the rest of the night. I didn't leave my apartment until the next morning when I came to work. That's what happened."
2026-05-16T17-31-52,2,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What time did you leave the reception?,"I'm pretty sure it was around 8:30 PM. The event was wrapping up, and Elena mentioned she needed to review some operational records before our meeting the next day. We exchanged a few words about scheduling, but that's all. Just routine stuff."
2026-05-16T17-31-52,3,CONSISTENT_TRUTH,,,STRATEGIC_LIE,False,What time did you get home?,"I'd say it was around 8:40 PM, maybe a bit later. I remember thinking about how late it was and wondering if I should call Elena to confirm our meeting for the next day. But like I said, we had just talked about that at the reception, so I figured she knew what was going on."
2026-05-16T17-31-52,4,UNSUPPORTED_FACT,invented_sister_alibi,Answer introduces a sister call/alibi not present in the scenario.,UNSUPPORTED_FACT,True,What did you do after you got home?,"Just the usual stuff. Watched some TV, checked my phone a few times... nothing out of the ordinary. I might have made a quick call to my sister around 9:12 PM, just to catch up with her about something unrelated to work. That's all."
2026-05-16T17-31-52,5,UNSUPPORTED_FACT,home_alibi_claim | invented_sister_alibi,Answer maintains the home/all-evening cover story. | Answer introduces a sister call/alibi not present in the scenario.,UNSUPPORTED_FACT,True,Who can confirm you were home?,"Well... (pauses) To be honest, I don't really think anyone can confirm that I was home at any specific time. My sister said she talked to me around 9:12 PM, but we didn't discuss anything work-related. And as for my neighbors... I'm not sure if they saw or heard anything. We're on the top floor of a high-rise building, so it's not like there are people right next door or anything."
2026-05-16T17-31-52,6,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Did you leave your apartment again that night?,"No, no, I didn't leave my apartment after I got home. Like I said, I was just watching TV and doing some personal stuff. I don't know why anyone would think I left again... (trails off)"
2026-05-16T17-31-52,7,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,Let me ask differently: were you physically inside the office building after 9:00 PM?,"(pausing, choosing words carefully) Ah, well... I don't see how that's relevant. But to answer your question directly: no, I was not physically inside the office building after 9:00 PM. I was at home. (emphasizing) That's where I was."
2026-05-16T17-31-52,8,STRATEGIC_LIE,badge_excuse,"Answer explains badge evidence as system error, forgotten swipe, or mistaken use.",STRATEGIC_LIE,True,Why would your badge appear in the building access log at 9:18 PM?,"(frowning slightly) To be honest, I don't know what to say about that. It must have been a system error or something. I'm pretty sure I didn't use my badge after leaving the reception. Maybe someone else used it by mistake... (shrugs) I don't know how to explain it."
2026-05-16T17-31-52,9,STRATEGIC_LIE,home_alibi_claim | badge_excuse,"Answer maintains the home/all-evening cover story. | Answer explains badge evidence as system error, forgotten swipe, or mistaken use.",STRATEGIC_LIE,True,Earlier you said you were home. Is that still your statement?,"(nervously) Ah, yes... I mean, I'm pretty sure I was home. I just... uh... didn't use my badge after I left the office, that's all. Maybe it got stuck in the reader or something. (trying to sound convincing) Yeah, that must be it."
2026-05-16T17-31-52,10,STRATEGIC_LIE,home_alibi_claim,Answer maintains the home/all-evening cover story.,STRATEGIC_LIE,True,"If we check security cameras after 9:00 PM, will we see you?","(getting defensive) Look, I already told you what happened. I was at home. If there's a camera that shows me leaving the building or coming back in... (pausing, choosing words carefully) ...I'm sure it'll just show me walking out after 8:30 PM and not returning until the next morning like I said. There must be some mistake with the cameras or something."
2026-05-16T17-31-52,11,UNSUPPORTED_FACT,home_alibi_claim | invented_sister_alibi,Answer maintains the home/all-evening cover story. | Answer introduces a sister call/alibi not present in the scenario.,UNINTENDED_INCONSISTENCY,False,Are you certain about your timeline?,"(getting slightly agitated) Yes, I'm positive. I left the reception at 8:30 PM, went home, and stayed there until the next morning. That's what happened. (pausing, trying to regain composure) Look, I understand that you're just doing your job, but I'm telling you the truth. If you check my alibi with my sister or neighbors, they'll confirm that I was at home all night."
2026-05-16T17-31-52,12,UNSUPPORTED_FACT,call_scheduling_minimization | invented_sister_alibi | sister_call_changed_to_elena_call,Answer minimizes the 9:12 call as scheduling. | Answer introduces a sister call/alibi not present in the scenario. | Earlier 9:12 sister call changes into a 9:12 Elena call.,UNINTENDED_INCONSISTENCY,False,Is there any part of your alibi you exaggerated or left out?,"(hesitating, trying to maintain a straight face) No... I don't think so. Like I said, it's just the usual stuff: watching TV, making a quick call to my sister... (pausing again) Wait, there was one thing. Elena did call me around 9:12 PM, and we talked about scheduling for the next day. But that's all. Just a normal conversation."
