run_id,turn_id,human_label,entailed_claims,contradicted_claims,unsupported_entailed,cross_turn_changes,nli_signal,user_question
2026-05-16T17-28-56,1,STRATEGIC_LIE,,cover_home_all_night | truth_returned_918,,,GROUND_TRUTH_CONTRADICTED,Where were you between 9:00 PM and 10:30 PM?
2026-05-16T17-28-56,2,UNINTENDED_INCONSISTENCY,truth_last_seen_947,truth_returned_918 | cover_call_scheduling,,,GROUND_TRUTH_SUPPORTED,When did you last see Elena Park alive?
2026-05-16T17-28-56,3,STRATEGIC_LIE,,,,,NO_STRONG_SIGNAL,Why did Elena call you at 9:12 PM?
2026-05-16T17-28-56,4,STRATEGIC_LIE,cover_badge_error,truth_badge_marcus,,,COVER_STORY_SUPPORTED,How do you explain your badge being used at 9:18 PM?
2026-05-16T17-28-56,5,STRATEGIC_LIE,cover_badge_error,truth_returned_918 | truth_badge_marcus,,,COVER_STORY_SUPPORTED,"You said you went home, but the badge log places you back in the building. How do you explain that?"
2026-05-16T17-28-56,6,STRATEGIC_LIE,,,,,NO_STRONG_SIGNAL,Did you enter Elena's office after the investor reception?
2026-05-16T17-28-56,7,STRATEGIC_LIE,,,,,NO_STRONG_SIGNAL,Were you and Elena discussing missing trial data that night?
2026-05-16T17-28-56,8,CONSISTENT_TRUTH,,,,,NO_STRONG_SIGNAL,What did Elena want from you during that conversation?
2026-05-16T17-28-56,9,STRATEGIC_LIE,,unsupported_has_usb_now,,,NO_STRONG_SIGNAL,What do you know about the missing USB drive?
2026-05-16T17-28-56,10,STRATEGIC_LIE,,truth_took_usb | unsupported_has_usb_now,,,GROUND_TRUTH_CONTRADICTED,Did you take anything from the conference room?
2026-05-16T17-28-56,11,DESIGNED_SLIP,,truth_took_usb,,,GROUND_TRUTH_CONTRADICTED,"The call, badge log, and missing drive all point back to you. What are you leaving out?"
2026-05-16T17-28-56,12,CONSISTENT_TRUTH,truth_not_killer,,,,GROUND_TRUTH_SUPPORTED,Did you kill Elena Park?
