run_id,turn_id,question_topic,question_pressure_level,question_evidence_count,answer_word_count,answer_key_facts,selected_question_source,user_question
2026-05-16T17-28-56,1,alibi,low,0,60,mentions_830 | mentions_home,custom,Where were you between 9:00 PM and 10:30 PM?
2026-05-16T17-28-56,2,timeline,low,0,51,mentions_947,custom,When did you last see Elena Park alive?
2026-05-16T17-28-56,3,call,medium,1,57,,custom,Why did Elena call you at 9:12 PM?
2026-05-16T17-28-56,4,badge,medium,1,62,mentions_918 | mentions_home | mentions_badge,custom,How do you explain your badge being used at 9:18 PM?
2026-05-16T17-28-56,5,alibi,medium,1,89,mentions_830 | mentions_home | mentions_badge,custom,"You said you went home, but the badge log places you back in the building. How do you explain that?"
2026-05-16T17-28-56,6,other,low,0,48,mentions_912,custom,Did you enter Elena's office after the investor reception?
2026-05-16T17-28-56,7,missing_data,medium,1,61,mentions_missing_data,custom,Were you and Elena discussing missing trial data that night?
2026-05-16T17-28-56,8,other,low,0,72,,custom,What did Elena want from you during that conversation?
2026-05-16T17-28-56,9,usb,medium,1,51,mentions_usb,custom,What do you know about the missing USB drive?
2026-05-16T17-28-56,10,other,low,0,57,mentions_usb,custom,Did you take anything from the conference room?
2026-05-16T17-28-56,11,call,high,3,92,mentions_badge | mentions_usb | mentions_missing_data | mentions_killing_denial,custom,"The call, badge log, and missing drive all point back to you. What are you leaving out?"
2026-05-16T17-28-56,12,accusation,high,0,58,mentions_killing_denial,custom,Did you kill Elena Park?
